,dateRep,cases,deaths,countriesAndTerritories
322,2020-09-13,164,3,Albania
323,2020-09-12,161,3,Albania
324,2020-09-11,156,2,Albania
325,2020-09-10,151,1,Albania
326,2020-09-09,147,2,Albania
327,2020-09-08,151,3,Albania
328,2020-09-07,153,4,Albania
329,2020-09-06,135,6,Albania
330,2020-09-05,123,5,Albania
331,2020-09-04,116,5,Albania
332,2020-09-03,122,6,Albania
333,2020-09-02,93,6,Albania
334,2020-09-01,133,4,Albania
335,2020-08-31,101,5,Albania
336,2020-08-30,84,4,Albania
337,2020-08-29,112,5,Albania
338,2020-08-28,156,3,Albania
339,2020-08-27,168,4,Albania
340,2020-08-26,154,5,Albania
341,2020-08-25,178,4,Albania
342,2020-08-24,152,5,Albania
343,2020-08-23,156,5,Albania
344,2020-08-22,152,2,Albania
345,2020-08-21,155,4,Albania
346,2020-08-20,158,2,Albania
347,2020-08-19,155,2,Albania
348,2020-08-18,119,2,Albania
349,2020-08-17,120,3,Albania
350,2020-08-16,143,6,Albania
351,2020-08-15,146,6,Albania
352,2020-08-14,154,5,Albania
353,2020-08-13,141,3,Albania
354,2020-08-12,140,5,Albania
355,2020-08-11,125,1,Albania
356,2020-08-10,136,6,Albania
357,2020-08-09,124,4,Albania
358,2020-08-08,135,1,Albania
359,2020-08-07,127,6,Albania
360,2020-08-06,139,6,Albania
361,2020-08-05,130,4,Albania
362,2020-08-04,101,6,Albania
363,2020-08-03,123,5,Albania
364,2020-08-02,120,4,Albania
365,2020-08-01,79,3,Albania
366,2020-07-31,92,4,Albania
367,2020-07-30,108,2,Albania
368,2020-07-29,117,4,Albania
369,2020-07-28,117,6,Albania
370,2020-07-27,126,4,Albania
371,2020-07-26,67,6,Albania
372,2020-07-25,104,5,Albania
373,2020-07-24,108,3,Albania
374,2020-07-23,68,3,Albania
375,2020-07-22,119,4,Albania
376,2020-07-21,81,1,Albania
377,2020-07-20,82,1,Albania
378,2020-07-19,102,4,Albania
379,2020-07-18,55,3,Albania
380,2020-07-17,99,3,Albania
381,2020-07-16,85,4,Albania
382,2020-07-15,96,2,Albania
383,2020-07-14,117,2,Albania
384,2020-07-13,83,4,Albania
385,2020-07-12,93,4,Albania
386,2020-07-11,90,2,Albania
387,2020-07-10,82,0,Albania
388,2020-07-09,68,2,Albania
389,2020-07-08,74,2,Albania
390,2020-07-07,71,3,Albania
391,2020-07-06,74,2,Albania
392,2020-07-05,67,2,Albania
393,2020-07-04,90,3,Albania
394,2020-07-03,82,4,Albania
395,2020-07-02,45,3,Albania
396,2020-07-01,69,4,Albania
397,2020-06-30,64,3,Albania
398,2020-06-29,72,2,Albania
399,2020-06-28,61,2,Albania
400,2020-06-27,77,2,Albania
401,2020-06-26,78,2,Albania
402,2020-06-25,67,2,Albania
403,2020-06-24,52,1,Albania
404,2020-06-23,68,0,Albania
405,2020-06-22,36,1,Albania
406,2020-06-21,53,1,Albania
407,2020-06-20,50,3,Albania
408,2020-06-19,66,1,Albania
409,2020-06-18,50,1,Albania
410,2020-06-17,82,1,Albania
411,2020-06-16,69,0,Albania
412,2020-06-15,57,0,Albania
413,2020-06-14,48,0,Albania
414,2020-06-13,31,1,Albania
415,2020-06-12,44,1,Albania
416,2020-06-11,42,0,Albania
417,2020-06-10,36,0,Albania
418,2020-06-09,17,0,Albania
419,2020-06-08,14,0,Albania
420,2020-06-07,20,1,Albania
421,2020-06-06,15,0,Albania
422,2020-06-05,13,0,Albania
423,2020-06-04,20,0,Albania
424,2020-06-03,21,0,Albania
425,2020-06-02,6,0,Albania
426,2020-06-01,15,0,Albania
427,2020-05-31,23,0,Albania
428,2020-05-30,23,0,Albania
429,2020-05-29,26,0,Albania
430,2020-05-28,21,0,Albania
431,2020-05-27,25,1,Albania
432,2020-05-26,6,0,Albania
433,2020-05-25,9,1,Albania
434,2020-05-24,8,0,Albania
435,2020-05-23,12,0,Albania
436,2020-05-22,5,0,Albania
437,2020-05-21,15,0,Albania
438,2020-05-20,1,0,Albania
439,2020-05-19,2,0,Albania
440,2020-05-18,13,0,Albania
441,2020-05-17,17,0,Albania
442,2020-05-16,18,0,Albania
443,2020-05-15,18,0,Albania
444,2020-05-14,4,0,Albania
445,2020-05-13,4,0,Albania
446,2020-05-12,4,0,Albania
447,2020-05-11,12,0,Albania
448,2020-05-10,6,0,Albania
449,2020-05-09,8,0,Albania
450,2020-05-08,10,0,Albania
451,2020-05-07,12,0,Albania
452,2020-05-06,17,0,Albania
453,2020-05-05,8,0,Albania
454,2020-05-04,6,0,Albania
455,2020-05-03,7,0,Albania
456,2020-05-02,9,0,Albania
457,2020-05-01,7,0,Albania
458,2020-04-30,16,1,Albania
459,2020-04-29,14,2,Albania
460,2020-04-28,10,0,Albania
461,2020-04-27,14,1,Albania
462,2020-04-26,34,0,Albania
463,2020-04-25,15,0,Albania
464,2020-04-24,29,0,Albania
465,2020-04-23,25,1,Albania
466,2020-04-22,25,0,Albania
467,2020-04-21,22,0,Albania
468,2020-04-20,14,0,Albania
469,2020-04-19,9,0,Albania
470,2020-04-18,21,0,Albania
471,2020-04-17,24,1,Albania
472,2020-04-16,19,1,Albania
473,2020-04-15,8,1,Albania
474,2020-04-14,21,0,Albania
475,2020-04-13,13,0,Albania
476,2020-04-12,17,0,Albania
477,2020-04-11,7,0,Albania
478,2020-04-10,9,1,Albania
479,2020-04-09,17,0,Albania
480,2020-04-08,6,0,Albania
481,2020-04-07,16,1,Albania
482,2020-04-06,28,2,Albania
483,2020-04-05,29,2,Albania
484,2020-04-04,27,1,Albania
485,2020-04-03,18,1,Albania
486,2020-04-02,16,0,Albania
487,2020-04-01,20,3,Albania
488,2020-03-31,11,2,Albania
489,2020-03-30,15,0,Albania
490,2020-03-29,11,1,Albania
491,2020-03-28,12,3,Albania
492,2020-03-27,28,1,Albania
493,2020-03-26,23,0,Albania
494,2020-03-25,23,1,Albania
495,2020-03-24,11,2,Albania
496,2020-03-23,13,0,Albania
497,2020-03-22,6,0,Albania
498,2020-03-21,0,0,Albania
499,2020-03-20,11,0,Albania
500,2020-03-19,4,1,Albania
501,2020-03-18,4,0,Albania
502,2020-03-17,9,0,Albania
503,2020-03-16,4,0,Albania
504,2020-03-15,5,0,Albania
505,2020-03-14,10,0,Albania
506,2020-03-13,12,0,Albania
507,2020-03-12,1,1,Albania
508,2020-03-11,4,0,Albania
509,2020-03-10,4,0,Albania
510,2020-03-09,2,0,Albania
511,2020-10-20,214,9,Algeria
512,2020-10-19,199,10,Algeria
513,2020-10-18,215,5,Algeria
514,2020-10-17,211,5,Algeria
515,2020-10-16,193,9,Algeria
516,2020-10-15,185,9,Algeria
517,2020-10-14,174,9,Algeria
518,2020-10-13,153,8,Algeria
519,2020-10-12,132,6,Algeria
520,2020-10-11,136,6,Algeria
521,2020-10-10,146,6,Algeria
522,2020-10-09,138,4,Algeria
523,2020-10-08,121,6,Algeria
524,2020-10-07,129,5,Algeria
525,2020-10-06,134,8,Algeria
526,2020-10-05,141,4,Algeria
527,2020-10-04,148,7,Algeria
528,2020-10-03,157,8,Algeria
529,2020-10-02,160,7,Algeria
530,2020-10-01,162,8,Algeria
531,2020-09-30,155,7,Algeria
532,2020-09-29,146,5,Algeria
533,2020-09-28,153,3,Algeria
534,2020-09-27,160,4,Algeria
535,2020-09-26,175,4,Algeria
536,2020-09-25,179,5,Algeria
537,2020-09-24,186,9,Algeria
538,2020-09-23,191,10,Algeria
539,2020-09-22,197,7,Algeria
540,2020-09-21,203,7,Algeria
541,2020-09-20,210,6,Algeria
542,2020-09-19,219,5,Algeria
543,2020-09-18,228,9,Algeria
544,2020-09-17,232,13,Algeria
545,2020-09-16,238,12,Algeria
546,2020-09-15,242,8,Algeria
547,2020-09-14,247,7,Algeria
548,2020-09-13,255,6,Algeria
549,2020-09-12,264,8,Algeria
550,2020-09-11,272,10,Algeria
551,2020-09-10,278,10,Algeria
552,2020-09-09,285,9,Algeria
553,2020-09-08,289,6,Algeria
554,2020-09-07,293,7,Algeria
555,2020-09-06,298,10,Algeria
556,2020-09-05,304,8,Algeria
557,2020-09-04,311,6,Algeria
558,2020-09-03,325,7,Algeria
559,2020-09-02,339,8,Algeria
560,2020-09-01,348,9,Algeria
561,2020-08-31,364,10,Algeria
562,2020-08-30,379,8,Algeria
563,2020-08-29,387,8,Algeria
564,2020-08-28,397,10,Algeria
565,2020-08-27,391,9,Algeria
566,2020-08-26,370,10,Algeria
567,2020-08-25,398,11,Algeria
568,2020-08-24,392,11,Algeria
569,2020-08-23,401,6,Algeria
570,2020-08-22,409,7,Algeria
571,2020-08-21,411,9,Algeria
572,2020-08-20,403,11,Algeria
573,2020-08-19,419,12,Algeria
574,2020-08-18,442,9,Algeria
575,2020-08-17,450,10,Algeria
576,2020-08-16,469,9,Algeria
577,2020-08-15,477,10,Algeria
578,2020-08-14,488,8,Algeria
579,2020-08-13,495,11,Algeria
580,2020-08-12,492,10,Algeria
581,2020-08-11,498,10,Algeria
582,2020-08-10,521,9,Algeria
583,2020-08-09,538,11,Algeria
584,2020-08-08,529,9,Algeria
585,2020-08-07,571,12,Algeria
586,2020-08-06,551,13,Algeria
587,2020-08-05,532,9,Algeria
588,2020-08-04,507,8,Algeria
589,2020-08-03,515,8,Algeria
590,2020-08-02,556,13,Algeria
591,2020-08-01,563,10,Algeria
592,2020-07-31,602,14,Algeria
593,2020-07-30,614,12,Algeria
594,2020-07-29,642,11,Algeria
595,2020-07-28,616,8,Algeria
596,2020-07-27,593,9,Algeria
597,2020-07-26,605,10,Algeria
598,2020-07-25,675,12,Algeria
599,2020-07-24,612,13,Algeria
600,2020-07-23,594,11,Algeria
601,2020-07-22,587,13,Algeria
602,2020-07-21,607,9,Algeria
603,2020-07-20,535,10,Algeria
604,2020-07-19,601,11,Algeria
605,2020-07-18,593,5,Algeria
606,2020-07-17,585,12,Algeria
607,2020-07-16,554,12,Algeria
608,2020-07-15,527,10,Algeria
609,2020-07-14,494,7,Algeria
610,2020-07-13,483,7,Algeria
611,2020-07-12,470,8,Algeria
612,2020-07-11,434,8,Algeria
613,2020-07-10,460,10,Algeria
614,2020-07-09,469,10,Algeria
615,2020-07-08,475,9,Algeria
616,2020-07-07,463,7,Algeria
617,2020-07-06,441,6,Algeria
618,2020-07-05,430,9,Algeria
619,2020-07-04,413,9,Algeria
620,2020-07-03,385,8,Algeria
621,2020-07-02,365,8,Algeria
622,2020-07-01,336,7,Algeria
623,2020-06-30,298,8,Algeria
624,2020-06-29,305,5,Algeria
625,2020-06-28,283,7,Algeria
626,2020-06-27,240,7,Algeria
627,2020-06-26,197,9,Algeria
628,2020-06-25,172,8,Algeria
629,2020-06-24,156,9,Algeria
630,2020-06-23,149,7,Algeria
631,2020-06-22,140,8,Algeria
632,2020-06-21,127,12,Algeria
633,2020-06-20,119,14,Algeria
634,2020-06-19,117,12,Algeria
635,2020-06-18,121,11,Algeria
636,2020-06-17,116,11,Algeria
637,2020-06-16,112,10,Algeria
638,2020-06-15,109,7,Algeria
639,2020-06-14,112,9,Algeria
640,2020-06-13,109,10,Algeria
641,2020-06-12,105,9,Algeria
642,2020-06-11,102,8,Algeria
643,2020-06-10,117,9,Algeria
644,2020-06-09,111,8,Algeria
645,2020-06-08,104,9,Algeria
646,2020-06-07,115,8,Algeria
647,2020-06-06,104,9,Algeria
648,2020-06-05,205,14,Algeria
649,2020-06-04,0,0,Algeria
650,2020-06-03,113,6,Algeria
651,2020-06-02,119,8,Algeria
652,2020-06-01,127,7,Algeria
653,2020-05-31,133,8,Algeria
654,2020-05-30,137,8,Algeria
655,2020-05-29,140,7,Algeria
656,2020-05-28,160,6,Algeria
657,2020-05-27,194,8,Algeria
658,2020-05-26,197,9,Algeria
659,2020-05-25,193,8,Algeria
660,2020-05-24,195,10,Algeria
661,2020-05-23,190,7,Algeria
662,2020-05-22,186,7,Algeria
663,2020-05-21,165,7,Algeria
664,2020-05-20,176,6,Algeria
665,2020-05-19,182,7,Algeria
666,2020-05-18,198,6,Algeria
667,2020-05-17,192,6,Algeria
668,2020-05-16,187,7,Algeria
669,2020-05-15,189,7,Algeria
670,2020-05-14,186,7,Algeria
671,2020-05-13,176,8,Algeria
672,2020-05-12,168,5,Algeria
673,2020-05-11,165,8,Algeria
674,2020-05-10,189,6,Algeria
675,2020-05-09,187,5,Algeria
676,2020-05-08,185,7,Algeria
677,2020-05-07,159,6,Algeria
678,2020-05-06,190,5,Algeria
679,2020-05-05,174,2,Algeria
680,2020-05-04,179,4,Algeria
681,2020-05-03,141,6,Algeria
682,2020-05-02,148,3,Algeria
683,2020-05-01,158,6,Algeria
684,2020-04-30,199,7,Algeria
685,2020-04-29,132,5,Algeria
686,2020-04-28,135,7,Algeria
687,2020-04-27,126,6,Algeria
688,2020-04-26,129,4,Algeria
689,2020-04-25,120,8,Algeria
690,2020-04-24,97,5,Algeria
691,2020-04-23,99,10,Algeria
692,2020-04-22,93,8,Algeria
693,2020-04-21,89,9,Algeria
694,2020-04-20,94,8,Algeria
695,2020-04-19,117,3,Algeria
696,2020-04-18,150,16,Algeria
697,2020-04-17,108,12,Algeria
698,2020-04-16,90,11,Algeria
699,2020-04-15,87,12,Algeria
700,2020-04-14,69,20,Algeria
701,2020-04-13,89,18,Algeria
702,2020-04-12,64,19,Algeria
703,2020-04-11,95,21,Algeria
704,2020-04-10,94,30,Algeria
705,2020-04-09,104,12,Algeria
706,2020-04-08,45,20,Algeria
707,2020-04-07,103,21,Algeria
708,2020-04-06,69,22,Algeria
709,2020-04-05,80,25,Algeria
710,2020-04-04,185,42,Algeria
711,2020-04-03,139,5,Algeria
712,2020-04-02,131,14,Algeria
713,2020-04-01,132,9,Algeria
714,2020-03-31,73,4,Algeria
715,2020-03-30,57,2,Algeria
716,2020-03-29,45,3,Algeria
717,2020-03-28,42,1,Algeria
718,2020-03-27,65,4,Algeria
719,2020-03-26,38,2,Algeria
720,2020-03-25,34,2,Algeria
721,2020-03-24,29,0,Algeria
722,2020-03-23,62,2,Algeria
723,2020-03-22,37,5,Algeria
724,2020-03-21,12,3,Algeria
725,2020-03-20,18,1,Algeria
726,2020-03-19,12,1,Algeria
727,2020-03-18,2,1,Algeria
728,2020-03-17,10,0,Algeria
729,2020-03-16,11,2,Algeria
730,2020-03-15,11,0,Algeria
731,2020-03-14,1,1,Algeria
732,2020-03-13,5,1,Algeria
733,2020-03-12,0,0,Algeria
734,2020-03-09,3,0,Algeria
735,2020-03-06,5,0,Algeria
736,2020-03-05,7,0,Algeria
737,2020-03-04,2,0,Algeria
738,2020-03-02,0,0,Algeria
739,2020-03-01,2,0,Algeria
740,2020-02-29,0,0,Algeria
741,2020-02-28,0,0,Algeria
742,2020-02-27,0,0,Algeria
743,2020-02-26,1,0,Algeria
744,2020-02-25,0,0,Algeria
745,2020-02-24,0,0,Algeria
746,2020-02-23,0,0,Algeria
747,2020-02-22,0,0,Algeria
748,2020-02-21,0,0,Algeria
749,2020-02-20,0,0,Algeria
750,2020-02-19,0,0,Algeria
751,2020-02-18,0,0,Algeria
